,song_id,song_name,artist,artist_uri,album,realese_date,popularity
103,1xZVE6ZxXYQdPbxLltV05t,Rigoletto: La donna è mobile,Giuseppe Verdi,spotify:artist:1JOQXgYdQV2yfrhewqx96o,The 50 Greatest Vocal Hits,2015-08-31,0
104,0JgLZ2M1fvAmX3arRihWfv,Caruso,Lucio Dalla,spotify:artist:25MkkfEousyfp2eyh38FUl,The 50 Greatest Vocal Hits,2015-08-31,0
105,0Kc2Qh2cCLliz3v5KzuFiU,The Downeaster 'Alexa',Billy Joel,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e,Greatest Hits Vol. III,1997-06-13,25
106,27m6b42tYaQyZt13yHGoH3,Somewhere Along the Line,Billy Joel,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e,Piano Man,1973-11-09,29
107,78WVLOP9pN0G3gRLFy1rAa,Piano Man,Billy Joel,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e,Piano Man,1973-11-09,64
108,2ySokxMhynpB3Vb8UWKvO0,Mi Perro Dinamita,Patricio Rey y sus Redonditos de Ricota,spotify:artist:6byQKddO1b34lXC2ZEjehQ,La Mosca y la Sopa,1991-09-27,55
109,02ZtIbjdZKpvdeUNmY0LWp,El Pibe de los Astilleros,Patricio Rey y sus Redonditos de Ricota,spotify:artist:6byQKddO1b34lXC2ZEjehQ,La Mosca y la Sopa,1991-09-27,60
110,2ybNy7okIb11z8czxvxoEg,Luzbelito y las Sirenas,Patricio Rey y sus Redonditos de Ricota,spotify:artist:6byQKddO1b34lXC2ZEjehQ,Luzbelito,1996-10-07,50
111,4ys11R56hYtBpYAvYrwh7p,Huellas,Cristina Zivec,spotify:artist:4E7iN6HP52s1kCWN85VJd0,Huellas,2019-08-09,0
112,5qqabIl2vWzo9ApSC317sa,Wonderwall - Remastered,Oasis,spotify:artist:2DaxqgrOhkeH0fpeiQq2f4,(What's The Story) Morning Glory? [Remastered],1995-10-02,77
