,artist_uri,genres,popularity,followers
144,spotify:artist:79bxUQsBIXO8nVLB9fYKf7,"['eurodance', 'europop', 'german pop', 'synthpop']",66,1105981
145,spotify:artist:0Suv0tRrNrUlRzAy8aXjma,"['bubblegum dance', 'eurodance', 'europop', 'hip house']",62,274210
146,spotify:artist:7jndhVwt15TAfplhIp39rO,[],41,4573
147,spotify:artist:6Q6qTNC2rAegcR5QjzcRgE,"['argentine rock', 'cumbia villera', 'rock en espanol']",59,749538
148,spotify:artist:3EhbVgyfGd7HkpsagwL9GS,"['album rock', 'classic rock', 'detroit rock', 'glam metal', 'glam rock', 'hard rock', 'metal', 'protopunk', 'rock']",64,3165715
149,spotify:artist:72OaDtakiy6yFqkt4TsiFt,"['dance pop', 'hollywood', 'new wave pop', 'pop']",68,2701397
150,spotify:artist:57zdSImRVdyfT1Ol0mmlWo,[],29,20924
151,spotify:artist:57zdSImRVdyfT1Ol0mmlWo,[],29,20924
152,spotify:artist:57zdSImRVdyfT1Ol0mmlWo,[],29,20924
153,spotify:artist:37zUz0gjTaNCWTOymnuWGG,"['cuarteto', 'cumbia villera']",53,276293
154,spotify:artist:37zUz0gjTaNCWTOymnuWGG,"['cuarteto', 'cumbia villera']",53,276293
155,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,"['dance pop', 'pop']",78,6421453
156,spotify:artist:1HY2Jd0NmPuamShAr6KMms,"['art pop', 'dance pop', 'pop']",85,23513563
157,spotify:artist:0iF2gedsSjoVHRUh5vXSdu,['circus'],47,108197
158,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'hip hop', 'rap']",91,60574307
159,spotify:artist:6ZyOle5O4r39i22AnY19Mk,"['folklore argentino', 'folklore cuyano']",28,8290
160,spotify:artist:7vnVFdROvKw2FdpXRxTtlV,['zamba'],22,2252
161,spotify:artist:3TINnlLcMBQA88OoalsvYR,"['cumbia paraguaya', 'cumbia villera']",53,340742
162,spotify:artist:3TINnlLcMBQA88OoalsvYR,"['cumbia paraguaya', 'cumbia villera']",53,340742
163,spotify:artist:3koiLjNrgRTNbOwViDipeA,"['classic soul', 'funk', 'indie r&b', 'motown', 'northern soul', 'quiet storm', 'soul']",73,4731323
164,spotify:artist:7slfeZO9LsJbWgpkIoXBUJ,"['dance pop', 'latin pop', 'mexican pop', 'puerto rican pop']",74,6888167
165,spotify:artist:1mbgj8ERPs8lWi7t5cYrdy,"['chanson', 'french jazz', 'nouvelle chanson francaise']",63,1353404
166,spotify:artist:1G1mX30GpUJqOr1QU2eBSs,"['new romantic', 'new wave', 'new wave pop', 'synthpop']",57,492096
167,spotify:artist:6CY5pbdf5XDjkJf8lAaljU,['italian disco'],33,7459
168,spotify:artist:7r4Bb7uhP2AhJ4qlRp2vgP,"['tango', 'tango cancion', 'vintage tango']",34,24066
169,spotify:artist:26bcq2nyj5GB7uRr558iQg,"['album rock', 'hard rock', 'rock', 'soft rock']",68,903850
170,spotify:artist:19xz1vcuKNjniGEftTOSSH,"['disco', 'hi-nrg']",56,137386
171,spotify:artist:1xivtET7hPQUzwgnLRQfEP,"['pop flamenco', 'rumba']",54,218256
172,spotify:artist:1VDurPMbOKrNU8mcMP4X1P,"['disco', 'funk', 'post-disco', 'quiet storm', 'urban contemporary']",49,123156
173,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e,"['classic rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",77,4653010
174,spotify:artist:4D0CepDROoLM09ht1sM5cu,['new age'],56,338956
175,spotify:artist:1zuJe6b1roixEKMOtyrEak,"['disco', 'new wave pop', 'soft rock']",69,3118475
176,spotify:artist:1zuJe6b1roixEKMOtyrEak,"['disco', 'new wave pop', 'soft rock']",69,3118475
177,spotify:artist:1zuJe6b1roixEKMOtyrEak,"['disco', 'new wave pop', 'soft rock']",69,3118475
178,spotify:artist:1zuJe6b1roixEKMOtyrEak,"['disco', 'new wave pop', 'soft rock']",69,3118475
179,spotify:artist:58lV9VcRSjABbAbfWS6skp,"['glam metal', 'rock']",78,11329509
180,spotify:artist:7An4yvF7hDYDolN4m5zKBp,"['argentine rock', 'latin alternative', 'latin rock', 'post-punk argentina', 'rock en espanol', 'ska argentino']",74,7151830
181,spotify:artist:2eogQKWWoohI3BSnoG7E2U,"['dance pop', 'disco', 'hi-nrg', 'new wave pop']",64,1608888
182,spotify:artist:0Dy32zfSrQ332Bz8wsthKJ,['argentine rock'],59,1783581
183,spotify:artist:2hl0xAkS2AIRAu23TVMBG1,"['album rock', 'art rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']",66,1287338
184,spotify:artist:6ABhpEk6lSChZFd268br7Q,[],11,615
185,spotify:artist:72KyoXzp0NOQij6OcmZUxk,"['australian rock', 'rock']",60,683521
186,spotify:artist:71kSWeYFioviuty6e3aj5k,"['futurepop', 'neo-synthpop']",35,26805
187,spotify:artist:1cf0sI5xmIozfrJXUWcRYo,['spanish invasion'],29,28943
188,spotify:artist:21o0KNjooi1XjygW6V70NM,"['argentine rock', 'latin alternative', 'latin rock', 'post-punk argentina', 'rock en espanol', 'rock nacional']",55,208638
189,spotify:artist:235Vf4hkmwvxjVEMuCbRxm,"['argentine rock', 'cuarteto', 'cumbia villera', 'rock en espanol']",60,1400370
190,spotify:artist:3HkXD1NjyvV3kBrrREjGrC,['nuevo tango'],6,915
191,spotify:artist:2BTZIqw0ntH9MvilQ3ewNY,"['disco', 'new wave pop', 'permanent wave', 'soft rock']",70,2120085
192,spotify:artist:5IQFLz9g7xdgHtw8BKa96y,['broadway'],32,8453
193,spotify:artist:6Cv7YpJ01y71mdgm4szmU2,['cumbia pop'],52,272117
194,spotify:artist:1LsXqDdYVyONhrjAORENbu,"['europop', 'zouk']",55,47115
